student_number,course,birthdate,nationality,civil_status,gender,municipality,payment_status,balance,has_scholarship,number_of_units_enrolled,academic_probation_status,last_term_GWA
24-8711,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-07-17,Filipino,Single,Male,Navotas,Paid,0,False,15,,3.5
24-4571,Business Solutions & Applications (BSBA‑BSAA),2005-05-08,Filipino,Single,Female,Imus,With Balance,38112,False,15,,3.5
24-3271,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-03-26,Filipino,Single,Male,Bacoor,Paid,0,True,21,,3.5
24-5420,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2003-11-03,Filipino,Single,Male,Antipolo,Paid,0,False,15,monitoring,3.5
24-1669,Human Resource Management (BSBA‑HRM),2005-03-21,Filipino,Single,Male,Pasig,Paid,0,False,15,,3.0
24-4437,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2003-06-12,Filipino,Single,Female,Marikina,Paid,0,True,21,,3.5
24-9629,Business Intelligence & Analytics (BSBA‑BIA),2007-12-18,Filipino,Single,Female,Navotas,With Balance,32715,False,15,,2.0
24-2430,Business Intelligence & Analytics (BSBA‑BIA),2006-03-10,Chinese,Single,Male,Marikina,Paid,0,False,18,,3.0
24-1371,Human Resource Management (BSBA‑HRM),2006-11-18,Filipino,Single,Female,Navotas,Paid,0,False,18,advising,2.0
24-9513,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-07-19,Filipino,Single,Female,Malabon,Paid,0,False,24,,3.0
24-6021,Business Solutions & Applications (BSBA‑BSAA),2004-04-16,Filipino,Single,Male,Pasig,Paid,0,False,18,,4.0
24-9770,Human Resource Management (BSBA‑HRM),2002-03-27,Filipino,Single,Male,Mandaluyong,Paid,0,False,21,,3.5
24-7056,Business Solutions & Applications (BSBA‑BSAA),2003-09-23,Filipino,Single,Female,Pasig,Paid,0,False,18,,4.0
24-1408,Information Systems (BS‑IS),2007-03-15,Filipino,Single,Female,Bacoor,Paid,0,False,21,,3.0
24-3409,Cybersecurity (BSCSEC),2007-06-23,Filipino,Single,Male,Pasig,Paid,0,False,15,,2.0
24-8306,Human Resource Management (BSBA‑HRM),2001-06-02,Filipino,Single,Male,Marikina,Paid,0,False,24,,1.0
24-9385,Information Systems (BS‑IS),2003-08-11,Filipino,Single,Male,Imus,Paid,0,False,24,,3.5
24-5663,Human Resource Management (BSBA‑HRM),2005-05-15,Filipino,Single,Female,Valenzuela,Paid,0,False,24,,3.5
24-2410,Business Solutions & Applications (BSBA‑BSAA),2003-05-16,Vietnamese,Single,Female,Makati,Paid,0,False,24,monitoring,3.0
24-5478,Information Systems (BS‑IS),2002-09-15,Filipino,Single,Male,Caloocan,Paid,0,False,24,monitoring,2.0
24-5979,Information Systems (BS‑IS),2007-04-01,Filipino,Single,Female,Bacoor,Paid,0,False,21,,3.5
24-5009,Business Intelligence & Analytics (BSBA‑BIA),2001-05-16,American,Single,Female,Rodriguez,Paid,0,False,21,,3.5
24-2959,Human Resource Management (BSBA‑HRM),2000-05-06,Filipino,Single,Female,Pasig,Paid,0,False,21,,2.0
24-6832,Business Intelligence & Analytics (BSBA‑BIA),2004-05-17,Filipino,Single,Male,Bacoor,Paid,0,False,18,,2.0
24-5932,Human Resource Management (BSBA‑HRM),2005-02-18,Filipino,Single,Male,Pasig,Paid,0,False,24,,2.0
24-3671,Business Intelligence & Analytics (BSBA‑BIA),2003-03-17,Filipino,Single,Male,Valenzuela,Paid,0,False,18,,3.5
24-6104,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-03-27,Filipino,Married,Female,Mandaluyong,Paid,0,False,15,,2.0
24-3332,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2003-05-05,Filipino,Married,Female,Taguig,Paid,0,True,24,,4.0
24-2766,Business Intelligence & Analytics (BSBA‑BIA),2000-08-04,Filipino,Single,Female,Imus,Paid,0,True,15,,2.0
24-4365,Cybersecurity (BSCSEC),2003-03-22,Filipino,Single,Female,Rodriguez,Paid,0,False,18,,4.0
24-1229,Cybersecurity (BSCSEC),2003-12-07,Korean,Single,Male,Taguig,With Balance,37895,False,24,,3.0
24-8203,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2001-03-27,Filipino,Single,Male,Antipolo,Paid,0,False,21,advising,3.0
24-9123,Human Resource Management (BSBA‑HRM),2004-09-24,Filipino,Single,Male,Pasay,Paid,0,False,21,,2.0
24-4700,Cybersecurity (BSCSEC),2006-05-28,Filipino,Single,Female,Imus,Paid,0,False,24,,3.5
24-9563,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2001-02-05,Filipino,Single,Male,Mandaluyong,Paid,0,True,18,,3.0
24-7623,Business Intelligence & Analytics (BSBA‑BIA),2003-07-24,Filipino,Single,Female,Bacoor,Paid,0,False,24,,3.0
24-3414,Information Systems (BS‑IS),2001-02-09,Filipino,Single,Male,Manila,Paid,0,True,15,,3.5
24-1438,Business Solutions & Applications (BSBA‑BSAA),2006-10-22,Filipino,Single,Male,Makati,Paid,0,False,24,,4.0
24-9157,Information Systems (BS‑IS),2004-09-11,Filipino,Single,Male,Quezon City,With Balance,13903,False,24,,2.0
24-8250,Information Systems (BS‑IS),2000-01-06,Filipino,Single,Female,Mandaluyong,Paid,0,False,24,,4.0
24-9037,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-08-18,Filipino,Single,Female,Marikina,With Balance,30215,False,21,,3.5
24-2006,Business Intelligence & Analytics (BSBA‑BIA),2000-03-27,Filipino,Single,Male,Bacoor,Paid,0,False,21,,3.5
24-1924,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2003-04-08,Filipino,Single,Male,Las Piñas,Paid,0,False,21,restrictions,2.0
24-9433,Information Systems (BS‑IS),2004-01-23,Filipino,Single,Female,Pasay,Paid,0,False,15,,4.0
24-4373,Human Resource Management (BSBA‑HRM),2007-09-26,Filipino,Single,Female,Parañaque,Paid,0,False,15,,3.0
24-5708,Human Resource Management (BSBA‑HRM),2000-05-19,Filipino,Single,Male,Rodriguez,Paid,0,True,21,,3.0
24-9700,Information Systems (BS‑IS),2006-04-12,Filipino,Single,Female,Antipolo,Paid,0,False,21,,3.5
24-9443,Information Systems (BS‑IS),2002-01-21,Filipino,Single,Female,Caloocan,With Balance,25312,False,21,,3.0
24-8106,Cybersecurity (BSCSEC),2000-09-07,Filipino,Single,Male,Imus,With Balance,23443,False,21,,2.0
24-4335,Information Systems (BS‑IS),2004-05-21,Filipino,Single,Male,Pasay,Paid,0,False,15,,2.0
24-8604,Information Systems (BS‑IS),2006-07-21,Filipino,Single,Female,Pasig,Paid,0,True,21,,4.0
24-1691,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-01-02,Filipino,Single,Female,Makati,Paid,0,False,21,,2.0
24-7502,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-04-04,Filipino,Single,Male,Antipolo,Paid,0,False,21,,4.0
24-3003,Human Resource Management (BSBA‑HRM),2005-10-24,Filipino,Single,Male,Valenzuela,Paid,0,False,18,,3.5
24-5166,Cybersecurity (BSCSEC),2000-08-18,Filipino,Single,Female,San Mateo,Paid,0,False,21,,2.0
24-6947,Information Systems (BS‑IS),2005-05-01,Filipino,Single,Male,Imus,Paid,0,False,18,,3.5
24-6945,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2001-09-28,Filipino,Single,Male,Pasay,With Balance,19859,False,15,,3.0
24-5872,Business Solutions & Applications (BSBA‑BSAA),2002-08-21,Filipino,Single,Female,Quezon City,Paid,0,False,24,,3.5
24-6451,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-02-27,Filipino,Single,Male,Parañaque,With Balance,27947,False,21,,4.0
24-1853,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-11-15,Filipino,Single,Female,Caloocan,Paid,0,False,15,advising,3.0
24-3131,Cybersecurity (BSCSEC),2006-06-15,Filipino,Single,Female,Mandaluyong,With Balance,36198,False,21,,3.5
24-3980,Information Systems (BS‑IS),2006-10-08,Filipino,Single,Male,Makati,Paid,0,False,18,restrictions,3.5
24-5262,Business Solutions & Applications (BSBA‑BSAA),2001-06-06,Filipino,Single,Female,Navotas,Paid,0,False,18,,4.0
24-5361,Human Resource Management (BSBA‑HRM),2007-07-05,Filipino,Single,Male,Las Piñas,Paid,0,False,18,,4.0
24-5754,Human Resource Management (BSBA‑HRM),2003-10-15,Filipino,Single,Female,Makati,Paid,0,True,18,,1.0
24-7513,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2003-12-13,Filipino,Single,Female,Makati,Paid,0,True,15,advising,3.5
24-6804,Cybersecurity (BSCSEC),2000-01-09,Filipino,Single,Female,Imus,With Balance,28335,False,15,,3.5
24-9253,Information Systems (BS‑IS),2005-08-05,Filipino,Single,Female,Pasig,Paid,0,False,18,,1.0
24-5603,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-07-10,Filipino,Single,Female,Antipolo,With Balance,20339,False,24,,4.0
24-8208,Business Intelligence & Analytics (BSBA‑BIA),2003-03-02,Filipino,Single,Female,Mandaluyong,Paid,0,False,24,monitoring,1.0
24-8949,Information Systems (BS‑IS),2007-02-28,Filipino,Single,Female,Makati,Paid,0,False,18,,2.0
24-4479,Cybersecurity (BSCSEC),2000-09-25,Filipino,Single,Male,San Juan,Paid,0,False,21,restrictions,1.0
24-2998,Information Systems (BS‑IS),2005-10-04,Filipino,Single,Male,Navotas,Paid,0,False,24,,3.5
24-1095,Human Resource Management (BSBA‑HRM),2000-11-20,Chinese,Single,Male,Caloocan,With Balance,19271,False,21,,3.0
24-9964,Cybersecurity (BSCSEC),2006-02-13,Filipino,Single,Female,Makati,Paid,0,True,18,,3.0
24-5668,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-02-10,Filipino,Single,Female,Imus,Paid,0,False,15,,3.0
24-9021,Information Systems (BS‑IS),2006-08-09,Filipino,Single,Female,Parañaque,Paid,0,False,24,restrictions,3.5
24-8594,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2003-11-22,Filipino,Single,Male,Las Piñas,Paid,0,False,24,,1.0
24-5921,Business Solutions & Applications (BSBA‑BSAA),2006-05-19,Filipino,Single,Male,Antipolo,Paid,0,False,15,,3.0
24-5151,Human Resource Management (BSBA‑HRM),2004-10-03,Filipino,Single,Female,Mandaluyong,With Balance,11483,False,15,,3.0
24-6143,Cybersecurity (BSCSEC),2007-11-15,Filipino,Single,Male,Caloocan,With Balance,29793,False,21,,4.0
24-9755,Business Intelligence & Analytics (BSBA‑BIA),2000-07-04,Filipino,Single,Female,Pasay,With Balance,29722,False,24,,2.0
24-6910,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-05-03,Filipino,Single,Male,Manila,Paid,0,False,15,,3.0
24-4961,Information Systems (BS‑IS),2003-02-10,Filipino,Single,Female,Manila,With Balance,34208,False,24,,3.5
24-8364,Cybersecurity (BSCSEC),2003-04-10,Filipino,Single,Male,Muntinlupa,Paid,0,True,24,,2.0
24-5764,Business Intelligence & Analytics (BSBA‑BIA),2007-07-16,Filipino,Single,Female,San Juan,Paid,0,False,24,,3.0
24-5388,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-08-04,Filipino,Single,Female,Navotas,Paid,0,False,21,,3.5
24-8178,Business Solutions & Applications (BSBA‑BSAA),2003-10-22,Filipino,Single,Female,Pasig,With Balance,22791,False,24,,3.0
24-6902,Information Systems (BS‑IS),2002-10-07,Filipino,Single,Female,Pasig,Paid,0,False,24,monitoring,2.0
24-9089,Human Resource Management (BSBA‑HRM),2003-04-18,Filipino,Single,Female,Parañaque,Paid,0,False,15,,3.5
24-2867,Cybersecurity (BSCSEC),2003-02-18,Filipino,Single,Female,Parañaque,With Balance,28252,False,21,,2.0
24-9444,Cybersecurity (BSCSEC),2001-12-02,Filipino,Single,Female,Taguig,With Balance,29977,False,15,,4.0
24-2727,Business Solutions & Applications (BSBA‑BSAA),2001-04-12,Filipino,Single,Female,Antipolo,With Balance,15055,False,21,,4.0
24-4307,Information Systems (BS‑IS),2006-01-08,Filipino,Single,Female,Antipolo,Paid,0,False,24,,3.0
24-3483,Cybersecurity (BSCSEC),2006-04-05,Filipino,Single,Female,Navotas,Paid,0,False,21,,3.5
24-1162,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2001-02-11,Filipino,Married,Male,Valenzuela,Paid,0,True,15,,3.0
24-1947,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2004-07-13,Filipino,Single,Female,Muntinlupa,Paid,0,False,21,,3.0
24-3406,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-08-21,Filipino,Single,Female,Parañaque,With Balance,23254,False,18,,4.0
24-9805,Human Resource Management (BSBA‑HRM),2006-12-24,Filipino,Single,Female,Caloocan,Paid,0,True,21,,3.0
24-3621,Business Intelligence & Analytics (BSBA‑BIA),2000-09-19,Filipino,Single,Female,Valenzuela,Paid,0,False,15,,3.5
24-9314,Human Resource Management (BSBA‑HRM),2001-01-25,Filipino,Single,Female,Rodriguez,Paid,0,False,18,,1.0
24-9737,Cybersecurity (BSCSEC),2003-06-10,Filipino,Single,Male,Pasay,Paid,0,False,21,,4.0
24-6919,Information Systems (BS‑IS),2001-03-23,Filipino,Single,Male,Quezon City,Paid,0,False,18,,3.5
24-9622,Information Systems (BS‑IS),2006-05-19,Filipino,Single,Female,Malabon,Paid,0,False,18,advising,3.5
24-8499,Business Solutions & Applications (BSBA‑BSAA),2001-12-07,Filipino,Single,Male,San Mateo,With Balance,29713,False,24,monitoring,3.0
24-1659,Cybersecurity (BSCSEC),2002-02-12,Filipino,Single,Female,Malabon,Paid,0,True,18,restrictions,3.5
24-5999,Human Resource Management (BSBA‑HRM),2003-03-27,Filipino,Single,Female,Makati,Paid,0,False,21,,2.0
24-7181,Information Systems (BS‑IS),2002-03-17,Filipino,Single,Female,Pasig,Paid,0,False,24,,2.0
24-6554,Cybersecurity (BSCSEC),2000-11-15,Filipino,Single,Male,Manila,With Balance,33180,False,21,,4.0
24-2395,Business Solutions & Applications (BSBA‑BSAA),2000-10-17,Filipino,Single,Male,Taguig,Paid,0,False,15,,4.0
24-8278,Business Intelligence & Analytics (BSBA‑BIA),2005-07-19,Filipino,Single,Male,Muntinlupa,Paid,0,False,21,,4.0
24-2627,Cybersecurity (BSCSEC),2002-05-05,Filipino,Single,Male,Las Piñas,Paid,0,False,15,,3.5
24-1445,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-05-13,Filipino,Single,Female,Marikina,With Balance,13963,False,15,,3.0
24-4874,Information Systems (BS‑IS),2006-02-09,Filipino,Single,Female,Makati,Paid,0,False,18,,4.0
24-2663,Business Solutions & Applications (BSBA‑BSAA),2002-05-19,Filipino,Single,Male,Pasig,With Balance,35625,False,18,,3.5
24-8401,Business Intelligence & Analytics (BSBA‑BIA),2000-08-27,Filipino,Single,Male,Manila,Paid,0,True,24,,3.5
24-7228,Human Resource Management (BSBA‑HRM),2003-10-27,Filipino,Single,Male,Las Piñas,Paid,0,True,15,,3.0
24-5578,Information Systems (BS‑IS),2003-10-17,Chinese,Single,Female,Bacoor,With Balance,24834,False,21,,1.0
24-6597,Business Solutions & Applications (BSBA‑BSAA),2007-10-11,Filipino,Single,Male,Cainta,With Balance,32043,False,18,,2.0
24-9011,Information Systems (BS‑IS),2001-11-21,Filipino,Single,Female,Imus,With Balance,22333,False,21,,2.0
24-1138,Business Intelligence & Analytics (BSBA‑BIA),2007-06-07,Filipino,Single,Male,Marikina,With Balance,16275,False,15,,3.0
24-4623,Business Solutions & Applications (BSBA‑BSAA),2007-06-02,Filipino,Single,Male,Manila,With Balance,22978,False,15,,3.0
24-9093,Business Solutions & Applications (BSBA‑BSAA),2003-11-24,Filipino,Single,Male,Makati,With Balance,14175,False,21,,2.0
24-9570,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2004-04-28,Filipino,Married,Female,Imus,Paid,0,False,24,,2.0
24-1849,Human Resource Management (BSBA‑HRM),2006-07-09,Filipino,Single,Female,Parañaque,Paid,0,False,18,monitoring,3.0
24-6181,Business Intelligence & Analytics (BSBA‑BIA),2006-04-11,Filipino,Single,Male,San Juan,Paid,0,False,15,,4.0
24-6394,Human Resource Management (BSBA‑HRM),2001-11-21,Filipino,Single,Male,Rodriguez,With Balance,37541,False,21,,3.5
24-6583,Business Intelligence & Analytics (BSBA‑BIA),2005-09-26,Filipino,Single,Female,Taguig,Paid,0,False,15,,2.0
24-7183,Human Resource Management (BSBA‑HRM),2001-03-02,Filipino,Single,Female,Cainta,Paid,0,False,15,,3.5
24-7249,Information Systems (BS‑IS),2001-10-25,Filipino,Single,Male,Navotas,With Balance,38833,False,15,,2.0
24-1425,Information Systems (BS‑IS),2005-10-07,Filipino,Single,Male,Rodriguez,Paid,0,False,18,,3.5
24-7897,Information Systems (BS‑IS),2007-03-08,Filipino,Single,Male,Las Piñas,Paid,0,False,21,,2.0
24-3385,Business Solutions & Applications (BSBA‑BSAA),2007-05-20,Filipino,Single,Male,Antipolo,Paid,0,False,15,,2.0
24-1894,Information Systems (BS‑IS),2005-04-07,Filipino,Single,Male,Muntinlupa,Paid,0,False,24,,3.5
24-6499,Cybersecurity (BSCSEC),2004-07-11,Filipino,Single,Male,Malabon,Paid,0,False,18,,3.5
24-4492,Business Solutions & Applications (BSBA‑BSAA),2007-12-25,Chinese,Single,Female,Caloocan,With Balance,10220,False,21,monitoring,4.0
24-2887,Business Solutions & Applications (BSBA‑BSAA),2004-08-07,Filipino,Single,Female,Quezon City,Paid,0,False,21,,2.0
24-3855,Human Resource Management (BSBA‑HRM),2003-03-07,Filipino,Single,Male,Manila,Paid,0,False,15,,4.0
24-8474,Business Solutions & Applications (BSBA‑BSAA),2005-06-22,Filipino,Single,Female,Makati,With Balance,14285,False,18,,3.5
24-7131,Human Resource Management (BSBA‑HRM),2006-11-08,Filipino,Single,Male,San Mateo,Paid,0,False,18,monitoring,2.0
24-9327,Cybersecurity (BSCSEC),2007-04-24,Filipino,Single,Male,Mandaluyong,With Balance,31137,False,21,,3.5
24-6272,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-09-23,Filipino,Single,Female,Marikina,Paid,0,False,15,,2.0
24-8406,Business Solutions & Applications (BSBA‑BSAA),2006-04-10,Filipino,Single,Male,Parañaque,Paid,0,False,15,,3.0
24-4771,Cybersecurity (BSCSEC),2000-08-17,Filipino,Single,Female,Valenzuela,With Balance,20388,False,21,,4.0
24-4830,Human Resource Management (BSBA‑HRM),2001-06-03,Filipino,Single,Male,Marikina,Paid,0,False,15,,3.0
24-6468,Business Solutions & Applications (BSBA‑BSAA),2005-05-10,Filipino,Single,Female,Caloocan,With Balance,38016,False,21,monitoring,3.5
24-6679,Information Systems (BS‑IS),2006-10-25,Filipino,Single,Male,Pasay,With Balance,16877,False,24,,3.0
24-8679,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-06-26,Filipino,Single,Female,Valenzuela,Paid,0,False,15,,3.0
24-3102,Human Resource Management (BSBA‑HRM),2000-08-26,Filipino,Single,Male,Valenzuela,With Balance,34996,False,21,,4.0
24-1527,Business Solutions & Applications (BSBA‑BSAA),2002-06-19,Filipino,Single,Female,Pasay,Paid,0,False,24,,4.0
24-8397,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2004-02-06,Filipino,Single,Male,Cainta,Paid,0,False,15,,3.5
24-4818,Human Resource Management (BSBA‑HRM),2001-08-02,Filipino,Single,Female,Valenzuela,With Balance,14231,False,24,,4.0
24-4382,Business Solutions & Applications (BSBA‑BSAA),2003-05-14,Filipino,Single,Male,Cainta,Paid,0,False,18,,3.0
24-5512,Business Solutions & Applications (BSBA‑BSAA),2000-03-15,Filipino,Single,Male,Antipolo,Paid,0,False,24,,3.0
24-2492,Human Resource Management (BSBA‑HRM),2007-06-23,Filipino,Single,Female,Cainta,With Balance,23600,False,18,,3.0
24-8079,Information Systems (BS‑IS),2006-11-06,Filipino,Single,Male,San Juan,Paid,0,False,21,,4.0
24-4559,Information Systems (BS‑IS),2006-09-04,American,Single,Male,Antipolo,Paid,0,False,24,,4.0
24-1731,Information Systems (BS‑IS),2000-02-21,Filipino,Single,Female,Muntinlupa,With Balance,22998,False,15,advising,3.0
24-3236,Human Resource Management (BSBA‑HRM),2007-08-15,Filipino,Single,Male,Navotas,With Balance,37576,False,18,,4.0
24-2646,Business Solutions & Applications (BSBA‑BSAA),2004-02-18,Filipino,Single,Male,Imus,Paid,0,False,18,,4.0
24-9721,Business Solutions & Applications (BSBA‑BSAA),2007-12-02,Filipino,Single,Male,Pasay,Paid,0,False,15,monitoring,3.0
24-5091,Human Resource Management (BSBA‑HRM),2003-04-03,Filipino,Single,Male,Muntinlupa,Paid,0,False,15,,2.0
24-3750,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-01-14,Filipino,Single,Female,San Mateo,Paid,0,False,24,,4.0
24-4502,Business Intelligence & Analytics (BSBA‑BIA),2005-06-06,Filipino,Single,Male,Pasay,Paid,0,False,21,,3.5
24-2103,Business Solutions & Applications (BSBA‑BSAA),2006-05-25,Filipino,Married,Male,San Mateo,With Balance,28651,False,18,,4.0
24-6314,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-11-25,Filipino,Single,Female,Imus,Paid,0,False,24,,3.0
24-4808,Cybersecurity (BSCSEC),2000-04-01,Filipino,Single,Female,San Juan,With Balance,30308,False,15,monitoring,3.5
24-4309,Business Solutions & Applications (BSBA‑BSAA),2006-04-21,Filipino,Single,Female,Muntinlupa,Paid,0,False,15,,1.0
24-5726,Business Intelligence & Analytics (BSBA‑BIA),2003-12-11,Filipino,Single,Male,Imus,With Balance,32815,False,18,,3.5
24-6269,Business Solutions & Applications (BSBA‑BSAA),2007-11-01,Filipino,Single,Male,Quezon City,Paid,0,False,18,advising,3.0
24-4348,Business Solutions & Applications (BSBA‑BSAA),2001-07-24,Filipino,Single,Male,San Juan,Paid,0,False,21,,3.5
24-4299,Human Resource Management (BSBA‑HRM),2007-02-12,Filipino,Single,Female,Valenzuela,With Balance,34914,False,18,,3.0
24-1324,Information Systems (BS‑IS),2006-02-25,Filipino,Single,Male,San Mateo,Paid,0,False,24,,3.5
24-8878,Business Intelligence & Analytics (BSBA‑BIA),2005-03-23,Filipino,Single,Male,Manila,Paid,0,True,21,,2.0
24-7465,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-07-16,Filipino,Married,Male,Valenzuela,With Balance,14078,False,24,,4.0
24-8148,Human Resource Management (BSBA‑HRM),2005-09-23,Filipino,Single,Male,Bacoor,Paid,0,False,18,,4.0
24-6921,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-12-22,Filipino,Single,Female,Imus,Paid,0,False,18,advising,3.0
24-7297,Information Systems (BS‑IS),2001-09-07,Filipino,Single,Female,Marikina,Paid,0,False,24,,3.0
24-2456,Business Intelligence & Analytics (BSBA‑BIA),2005-03-09,Filipino,Single,Female,Las Piñas,Paid,0,True,18,,4.0
24-2144,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-09-14,Filipino,Single,Male,Mandaluyong,With Balance,16488,False,24,,2.0
24-8383,Cybersecurity (BSCSEC),2003-03-07,Filipino,Single,Male,Marikina,With Balance,24441,False,15,,4.0
24-5802,Business Intelligence & Analytics (BSBA‑BIA),2006-02-09,Filipino,Single,Male,Malabon,With Balance,10311,False,15,,1.0
24-1685,Business Intelligence & Analytics (BSBA‑BIA),2003-09-26,Filipino,Single,Female,Malabon,Paid,0,False,24,,3.0
24-6620,Human Resource Management (BSBA‑HRM),2003-06-22,Filipino,Single,Female,Muntinlupa,Paid,0,False,24,,2.0
24-3275,Business Intelligence & Analytics (BSBA‑BIA),2001-09-09,Chinese,Single,Male,Parañaque,Paid,0,False,24,,3.0
24-1051,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-01-21,Filipino,Single,Female,Imus,Paid,0,False,24,,3.0
24-6707,Information Systems (BS‑IS),2007-11-28,Filipino,Single,Female,Las Piñas,With Balance,38503,False,15,advising,3.5
24-9990,Information Systems (BS‑IS),2002-08-04,Filipino,Single,Male,Caloocan,With Balance,32934,False,15,restrictions,4.0
24-6349,Information Systems (BS‑IS),2004-04-24,Filipino,Single,Male,Imus,Paid,0,False,24,restrictions,3.5
24-4666,Cybersecurity (BSCSEC),2001-11-11,Filipino,Single,Female,Bacoor,Paid,0,False,24,,4.0
24-2895,Human Resource Management (BSBA‑HRM),2001-02-03,Filipino,Single,Male,Taguig,Paid,0,False,21,,3.0
24-1027,Human Resource Management (BSBA‑HRM),2000-10-18,Filipino,Single,Female,Muntinlupa,With Balance,36101,False,18,,3.0
24-4639,Business Intelligence & Analytics (BSBA‑BIA),2006-01-18,Filipino,Single,Female,San Juan,Paid,0,False,21,restrictions,2.0
24-1562,Cybersecurity (BSCSEC),2005-05-17,American,Single,Female,Bacoor,Paid,0,False,24,monitoring,4.0
24-4450,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2003-12-24,Filipino,Single,Male,Malabon,Paid,0,False,18,,3.0
24-6528,Information Systems (BS‑IS),2007-06-25,Filipino,Single,Female,Las Piñas,Paid,0,False,24,monitoring,3.0
24-1886,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2004-08-21,Filipino,Single,Female,Las Piñas,Paid,0,False,18,,4.0
24-2670,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-07-14,Filipino,Single,Male,Taguig,Paid,0,False,15,restrictions,3.0
24-8107,Business Solutions & Applications (BSBA‑BSAA),2006-04-02,Filipino,Single,Female,Cainta,Paid,0,False,24,,1.0
24-2468,Information Systems (BS‑IS),2006-05-21,Filipino,Single,Male,Taguig,Paid,0,True,24,,2.0
24-4685,Business Intelligence & Analytics (BSBA‑BIA),2007-05-23,Filipino,Single,Male,Pasay,Paid,0,False,24,,4.0
24-6328,Business Intelligence & Analytics (BSBA‑BIA),2002-07-27,Filipino,Single,Female,Makati,Paid,0,False,15,,4.0
24-2922,Business Solutions & Applications (BSBA‑BSAA),2002-01-18,Filipino,Single,Male,Pasig,Paid,0,False,15,,2.0
24-1573,Business Intelligence & Analytics (BSBA‑BIA),2001-09-10,Filipino,Single,Female,Imus,Paid,0,True,21,restrictions,2.0
24-5807,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-03-19,Filipino,Single,Female,Cainta,Paid,0,False,15,,4.0
24-1601,Business Solutions & Applications (BSBA‑BSAA),2002-05-28,Filipino,Single,Male,Rodriguez,Paid,0,False,24,monitoring,3.5
24-3675,Information Systems (BS‑IS),2007-02-09,Filipino,Single,Male,San Mateo,Paid,0,False,21,,3.0
24-4156,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-10-22,Filipino,Single,Male,Valenzuela,Paid,0,False,24,,1.0
24-5055,Business Intelligence & Analytics (BSBA‑BIA),2004-02-18,Filipino,Single,Male,Muntinlupa,Paid,0,False,21,,4.0
24-4698,Human Resource Management (BSBA‑HRM),2000-02-13,Japanese,Single,Male,Taguig,With Balance,20045,False,24,monitoring,3.0
24-5620,Cybersecurity (BSCSEC),2004-10-04,Filipino,Single,Female,Mandaluyong,With Balance,35845,False,24,,4.0
24-1155,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-11-05,Filipino,Single,Female,Quezon City,Paid,0,False,21,,4.0
24-7852,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-03-15,Vietnamese,Single,Female,Marikina,Paid,0,False,18,,2.0
24-6007,Information Systems (BS‑IS),2005-02-21,Filipino,Single,Male,Mandaluyong,Paid,0,False,21,,3.5
24-1175,Information Systems (BS‑IS),2002-08-16,Filipino,Married,Male,Pasay,Paid,0,True,18,,3.0
